SKU;NOMBRE;MONTO;DSCTO;FECHA;ESTADO
1952192;MOCHILA BASICA AEREAL FLORES SB-2102G;6299;0;2022-12-31T21:54:1 5.354699Z;EXPIRED
10228250;MANDO MÓVIL PARA CELULAR W11+ NEGRO;2313;0;2022-12-31T21:54:16 .494584Z;EXPIRED
0;REGISTRO AGORA;210;0;2022-12-31T21:54:33.280110Z;REVERSED
24041;CREMA DENTAL COLGATE LUMINOUS WHITE BRILLANT - TUBO 125 ML;4459;0 ;2022-12-31T21:55:00.246739Z;EXPIRED
1795113;ZAPATILLAS URBANAS MUJER ADIDAS STRUTTER BLANCO TALLA 35.5 PE | 5.5 U S;33719;0;2022-12-31T21:55:07.477299Z;FINALIZED
10214231;PAÑAL PARA BEBÉ BALANZÉ BABY TALLA XXG PAQUETE 48UN;9024;0;202 2-12-31T21:55:09.421305Z;FINALIZED
1000433836;RELOJ CASIO W-800H-1AVDF NEGRO HOMBRE;58687;0;2022-12-31T21: 55:17.198705Z;FINALIZED
127090;DIRECTV KIT PREPAGO;10307;0;2022-12-31T21:55:27.300468Z;FINALI ZED
10228250;MANDO MÓVIL PARA CELULAR W11+ NEGRO;2313;0;2022-12-31T21:55:38 .799948Z;REJECT
2163489;KIT MOCHILA TARGUS BLUE+MOUSE INALAMBRICO;21024;0;2022-12-31T21 :55:40.786014Z;FINALIZED
1855966;LENTES DE SOL HOMBRE FOSTER GRANT R1PO65-1 AZ;16806;0;2022-12-3 1T21:55:40.786014Z;FINALIZED
1000483351;MOUSE GAMER T-DAGGER PRIVATE 3200 DPI RGB BLACK;10496;0;2022 -12-31T21:55:40.786014Z;FINALIZED
1000386569;MOCHILA PARA LAPTOP CON PUERTO USB - NEGRA;10515;0;2022-12-3 1T21:55:40.786014Z;FINALIZED
1000028647;DUKAP MALETA DE VIAJE BARCELONA 51 CM 10 KG VERDE;31342;0;20 22-12-31T21:55:40.786014Z;FINALIZED
1000052710;COOLER IDOCK N10 OFFICE DE ALUMINIO BASE ROTATIVA 360 GRADOS;257 88;0;2022-12-31T21:55:40.786014Z;FINALIZED
1000084786;COOLER CYBERCOOL HA-80 ALUMINIO HASTA 15.6 PULGADAS LED AZUL;184 26;0;2022-12-31T21:55:40.786014Z;FINALIZED
10163900;PACK D'ONOFRIO HELADO PEZIDURI CHOCOLATE CREMOSO POTE 930ML X 2UN; 5006;-3632;2022-12-31T21:55:46.026774Z;REJECT
10163903;PACK D'ONOFRIO HELADO PEZIDURI CHOCOCHIPS CREMOSO POTE 930ML X 2UN;" ""5006""";-3632;2022-12-31T21:55:46.026774Z;REJECT
10062453;FILETE DE PECHUGA DE PAVO BOLSA 500G;8182;-6785;2022-12-31T21: 55:46.026774Z;REJECT
10729375;PACK GELATINA UMSHA SABOR A FRESA 120G BOLSA 2UN;1556;-1034;20 22-12-31T21:55:46.026774Z;REJECT
2939;HUEVOS DE GALLINA BELL'S PARDOS BANDEJA 15UN;1998;-900;2022-12-31T 21:55:46.026774Z;REJECT
